"Rank","Name","Rep","Post_Count","Followers","Following","Posting","Curation","Steem","Steem_Power","Steem_Dollars","Estimated_Value"
"#1","steemit",35,"1","1,053","0","3,548","0","4","71,285,556","8,572","$85,303,464"
"#2","freedom",25,"0","669","0","0","9,738,430","5,015","7,310,648","1,113","$8,754,605"
"#3","misterdelegation",25,"0","0","0","0","0","1","7,022,948","4","$8,402,684"
"#4","steem",25,"0","270","0","0","0","15,827","6,321,492","736","$7,583,477"
"#5","blocktrades",70.2,"1,266","6,950","14","71,080,735","407,318,438","286,691","4,303,956","1,780","$5,495,255"
"#6","ned",69,"713","7,843","7,072","8,249,161","734,451,277","141,855","3,578,116","5,743","$4,459,603"
"#7","val-a",55.2,"60","1,350","39","350,994","115,247,765","0","2,564,044","0","$3,067,777"
"#8","mottler",25,"0","327","0","0","0","0","2,249,440","0","$2,691,365"
"#9","databass",25,"0","274","0","0","0","0","1,705,229","0","$2,040,238"
"#10","hendrikdegrote",50.5,"31","2,299","28","70,595","57,681,326","10","1,666,034","69","$1,993,461"
"#11","jamesc",60.8,"503","1,583","913","2,199,022","17,243,552","140","1,558,998","244","$1,865,821"
"#12","michael-b",25,"0","353","0","0","5,853,264","0","1,502,643","0","$1,797,852"
"#13","val-b",25,"10","450","0","0","87,813,652","0","1,490,201","2","$1,782,969"
"#14","proskynneo",57.8,"102","1,033","32","2,678,322","5,521,460","0","1,394,398","0","$1,668,342"
"#15","minority-report",33.8,"4","40","0","3,242","4,620","15,148","1,356,698","0","$1,641,358"
"#16","ranchorelaxo",28.1,"1","175","2","162","0","0","1,302,661","1","$1,558,584"
"#17","thejohalfiles",57,"1,593","2,858","2,646","586,517","43,840,252","31","1,268,227","0","$1,517,420"
"#18","xeldal",60.3,"167","2,026","1,411","8,696,940","69,426,111","0","974,533","22","$1,166,023"
"#19","roadscape",62.3,"186","2,083","1,766","14,799,200","28,743,813","62","953,365","3,258","$1,145,733"
"#20","ben",36.2,"1","607","0","335","0","1,368,713","842,128","1","$2,645,185"
"#21","arhag",67.5,"309","2,407","35","52,850,586","5,659,493","8,770","815,813","4,760","$993,878"
"#22","jamesc1",51.8,"83","405","38","88,866","606,751","9,063","792,295","58","$958,881"
"#23","adm",60.8,"294","529","0","907,983","2,904,818","408","740,919","152","$887,202"
"#24","safari",25,"0","131","0","0","0","0","730,818","0","$874,394"
"#25","riverhead",61.4,"219","1,799","62","7,632,106","29,886,405","0","720,074","0","$861,539"
"#26","fyrstikken",73.5,"4,188","6,941","5,564","62,037,033","19,143,736","0","718,769","44","$860,045"
"#27","created",25,"0","408","0","0","8,378,234","1","718,185","0","$859,280"
