"Rank","Name","Rep","Post_Count","Followers","Following","Posting","Curation","Steem","Steem_Power","Steem_Dollars","Estimated_Value"
"#28","smooth",68.2,"3,525","2,237","0","13,463,854","287,444,619","2,385","674,567","0","$809,946"
"#29","batel",25,"0","226","0","0","0","0","638,430","0","$763,856"
"#30","adsactly",69.4,"642","3,575","1,654","11,632,449","9,823,493","5,541","636,385","2,405","$771,726"
"#31","tombstone",63.1,"255","1,400","765","6,136,085","80,768,588","99,804","589,439","1","$824,653"
"#32","trafalgar",66.6,"3,671","5,087","48","19,369,091","25,145,859","9","560,106","14","$670,178"
"#33","wackou",58.5,"51","1,550","73","2,188,235","34,029,893","6,213","535,766","7","$648,468"
"#34","bob",25,"0","135","0","0","0","0","525,042","3","$628,196"
"#35","jaewoocho",25,"0","206","0","0","1,970,321","3,319","515,381","0","$620,604"
"#36","pharesim",68.8,"1,182","4,156","1,844","40,083,113","97,510,578","1,467","511,805","2","$614,112"
"#37","glitterfart",67.2,"1,072","2,192","41","11,030,083","28,775,965","0","509,334","25","$609,435"
"#38","steemed",64,"162","1,538","0","17,146,102","99,385,895","0","508,644","64","$608,670"
"#39","michael-a",25,"0","252","0","0","3,123,589","0","478,086","0","$572,011"
"#40","transisto",66.1,"1,212","1,473","50","4,396,993","9,537,096","61,859","465,167","0","$630,566"
"#41","alice",25,"0","191","0","0","69","0","464,832","0","$556,153"
"#42","engagement",54.8,"91","819","1","759,478","18,123,515","0","456,039","0","$545,633"
"#43","tamim",71.8,"1,659","1,331","55","26,283,922","25,933,920","43,631","439,234","13","$577,749"
"#44","recursive",62.4,"652","986","140","2,689,219","17,428,033","273","418,463","699","$502,073"
"#45","bitcube",60.1,"168","520","0","5,988,918","593,219","7","417,601","2,283","$503,153"
"#46","goku1",25,"0","125","2","0","27,058","0","416,837","0","$498,729"
"#47","smooth-a",25,"0","53","0","0","46","49,555","383,522","430","$518,819"
"#48","slowwalker",72.5,"5,459","4,071","3,663","37,727,614","20,390,458","0","372,881","29","$446,181"
"#49","fulltimegeek",64.7,"2,019","2,107","1,976","3,336,788","8,395,192","20","358,918","95","$429,600"
"#50","donkeypong",73.4,"3,613","5,987","575","170,066,176","31,534,101","0","341,985","2","$409,175"
"#51","alvaro",25,"0","138","0","0","0","0","339,325","0","$405,989"
"#52","xaero1",57,"2,814","1,430","378","673,589","3,666,616","0","333,128","960","$400,047"
"#53","gavvet",77.2,"3,562","6,251","4,962","251,719,592","56,737,556","203","325,161","0","$389,284"
"#54","dan",69.5,"442","6,164","3","46,031,222","91,714,826","3,384,029","323,193","341","$4,436,065"
"#55","livingfree",25,"1","448","2","0","8,339,574","4,378","306,793","987","$373,817"
"#56","fuzzyvest",62.8,"1,222","1,715","77","6,654,058","55,285,282","0","303,358","54","$363,038"
"#57","systema",25,"0","172","0","0","712,881","0","300,079","0","$359,033"
"#58","fminerten",25,"0","426","0","0","10,010,226","1","298,943","1","$357,675"
"#59","newsflash",47.1,"81","272","3","72,674","4,212,245","54,917","275,207","59","$395,070"
"#60","thecyclist",46.7,"13","301","0","119,464","7,170,027","0","266,249","0","$318,556"
"#61","arsahk",25,"0","177","0","0","70,789","0","257,113","0","$307,625"
"#62","lafona-miner",25,"0","245","0","0","18,936,884","1,257","254,594","3","$306,120"
"#63","honeybeee",53.7,"31","371","20","242,370","797,163","50,066","246,847","65","$355,343"
"#64","bramd",53.3,"101","73","18","203,132","1,825,916","1,133","244,349","2","$293,713"
"#65","bhuz",60.7,"49","925","0","2,284,602","4,586,918","10","235,403","22","$281,696"
"#66","creator",58.7,"16","285","6","3,867,425","1,306,250","2,948","232,288","72","$281,561"
"#67","thisvsthis",46.2,"200","556","162","10,747","12,786,879","0","230,568","1","$275,867"
"#68","renohq",58.6,"275","1,125","1,074","1,279,977","2,783,678","110,947","222,044","206","$398,727"
"#69","imadev",25,"0","176","0","0","1,968","788,298","216,932","71,103","$1,311,739"
"#70","abdullar",71.4,"3,681","3,355","834","28,335,642","17,895,005","1","212,056","176","$253,987"
"#71","skan",53.7,"457","845","798","241,696","5,750,458","0","202,649","113","$242,635"
"#72","roelandp",71.5,"1,222","4,984","3,310","93,760,042","12,114,192","13,391","202,441","0","$258,235"
"#73","newhope",25,"0","72","0","0","2,838,438","0","200,808","11","$240,276"
"#74","nanzo-scoop",71.9,"1,722","2,609","1,712","66,245,334","24,383,411","582","200,042","45","$240,107"
"#75","neoxian",68.1,"4,446","2,917","1,439","7,961,382","6,154,381","1","199,873","355","$239,684"
"#76","arama",50.9,"65","1,558","40","76,735","14,636,307","1","199,535","23","$238,773"
"#77","done",50.8,"4","461","63","84,188","6,418,590","0","199,405","50","$238,657"
"#78","hr1",59.4,"163","2,373","43","2,348,299","40,558,248","16,934","198,975","2,012","$261,412"
"#79","ramta",64.1,"591","991","781","5,591,629","15,225,906","11","193,114","16","$231,090"
"#80","abit",69.6,"3,364","5,220","4,729","17,002,898","128,029,278","273","187,971","1,352","$227,301"
"#81","onceuponatime",71.3,"3,163","2,721","93","28,229,642","21,134,981","348","186,482","55","$223,618"
"#82","kevinwong",74.9,"8,053","5,235","4,207","115,875,080","11,273,441","0","182,948","1","$218,891"
"#83","snowflake",65,"1,449","1,315","49","3,897,755","14,083,182","0","181,205","0","$216,805"
"#84","czechglobalhosts",68.8,"6,698","1,116","52","10,208,273","738,757","0","180,848","121","$216,563"
"#85","cryptoctopus",72.9,"2,638","4,465","924","144,184,684","18,720,121","0","180,011","0","$215,376"
"#86","gtg",64.9,"2,567","2,491","1,826","5,426,162","3,081,123","0","179,024","0","$214,195"
"#87","freeyourmind",-3,"458","703","16","367,863","16,870,021","0","177,343","0","$212,184"
"#88","someonewhoisme",54.2,"366","695","25","273,296","13,498,343","0","177,238","0","$212,059"
"#89","alexis555",25,"0","0","0","0","2,246,461","2","174,768","12","$209,124"
"#90","steempty",58.9,"118","970","394","601,125","26,900,177","0","172,833","1","$206,790"
"#91","kidrock",25,"0","75","0","0","0","0","172,374","0","$206,238"
"#92","smooth-b",25,"0","47","0","0","105","656","171,528","1","$206,013"
"#93","sean-king",68.8,"1,276","2,027","1,665","28,973,801","6,989,729","11","167,718","567","$201,551"
"#94","ioc",66.9,"249","673","75","5,445,378","13,443,497","0","165,081","0","$197,513"
"#95","tyler",25,"0","68","0","0","0","0","162,369","0","$194,268"
"#96","witness.svk",33.5,"3","638","3","662,339","20,258,836","400,337","162,200","1","$673,055"
"#97","dang007",60.5,"2,003","617","7","1,437,334","1,179,928","4,066","161,392","0","$197,964"
"#98","oldstone",71,"3,558","1,273","844","21,295,644","3,309,467","0","159,730","121","$191,295"
"#99","damarth",60.1,"281","1,389","736","1,665,895","3,725,881","57,899","158,945","43","$259,511"
"#100","virus707",70.2,"3,776","989","1,019","12,095,813","2,472,414","0","158,698","51","$189,955"
"#101","eeks",63.9,"1,156","1,133","775","8,019,004","3,643,505","0","155,805","0","$186,415"
"#102","hasoon",47.8,"31","204","5","85,429","383,926","0","155,092","55","$185,646"
"#103","hiva",25,"0","75","0","0","0","0","150,547","0","$180,123"
"#104","lifewordmission",62.2,"429","285","0","3,132,588","5,124,346","0","143,162","0","$171,288"
"#105","fenghuang",25,"0","7","0","0","587,119","0","142,349","0","$170,315"
"#106","leesunmoo",71.8,"5,699","1,958","250","30,585,792","9,330,105","0","139,082","0","$166,406"
"#107","node1",25,"0","57","0","0","0","0","135,599","0","$162,238"
"#108","vcelier",67.8,"1,416","1,338","49","9,246,402","8,861,326","0","133,820","0","$160,111"
"#109","nextgencrypto",65.2,"190","1,693","1","15,183,005","38,866,239","0","131,871","1","$157,780"
"#110","meerkat",25,"0","135","0","0","2,377,188","0","131,730","1","$157,611"
"#111","minnowbooster",67.1,"51,736","2,673","0","6,597,428","24,339,898","4,004","127,905","1,249","$159,739"
"#112","figaro",25,"0","81","0","0","0","0","126,643","0","$151,523"
"#113","sigizzang",66.4,"2,473","612","111","7,951,605","1,946,262","0","126,366","222","$151,533"
"#114","redes",25,"0","0","0","0","1,515,998","0","125,574","8","$150,256"
"#115","extrospect",58.6,"722","434","125","1,120,221","2,571,668","48","123,278","13","$147,575"
"#116","ripperone",25,"0","54","0","0","2,325,753","0","120,659","4","$144,369"
"#117","spmarkets",44.2,"12","0","0","19,545","31,832","73","119,248","0","$142,763"
"#118","cryptopassion",69.9,"1,765","397","44","11,035,101","779,387","0","118,920","0","$142,283"
"#119","cryptomancer",62.5,"1,440","1,223","127","2,168,662","2,011,468","1,620","118,179","0","$143,335"
"#120","delegate.lafona",53.8,"11","351","0","227,677","900,150","0","118,087","0","$141,286"
"#121","bitcointalker",25,"0","101","0","0","0","0","114,006","0","$136,404"
"#122","stellabelle",75.4,"15,556","6,297","3,139","193,376,038","9,347,265","581","113,970","60","$137,148"
"#123","analisa",40.1,"33","1,026","0","4,093","10,209,092","0","113,565","0","$135,876"
"#124","moderator",25,"0","61","0","0","0","45","113,303","0","$135,617"
"#125","moses153",25,"1","92","1","0","1,686,899","3","112,573","134","$134,897"
"#126","thecryptodrive",64.9,"877","1,367","96","15,596,521","2,356,315","5,436","112,087","0","$140,612"
"#127","otisbrown",62.8,"2,494","604","409","2,251,081","3,355,644","7","111,299","750","$134,323"
"#128","lighthil",58.5,"743","607","402","1,030,780","969,566","0","110,738","17","$132,520"
"#129","temet-nosce",25,"0","37","0","0","165,058","0","108,238","1","$129,504"
"#130","matt-a",63.7,"2,471","1,536","145","5,351,512","4,855,733","0","107,650","550","$129,643"
"#131","azeroth",25,"0","176","0","0","0","209,399","107,551","20,966","$411,365"
"#132","natsu",25,"0","57","0","0","0","0","107,210","0","$128,273"
"#133","ctrl-alt-nwo",61.9,"1,377","756","772","1,748,929","554,685","0","106,789","1,118","$129,483"
"#134","davidding",-10.6,"274","548","23","1,796,878","2,872,332","1","106,421","1,205","$129,178"
"#135","steemaccess",25,"10","323","3","0","9,097,193","24,412","106,231","6","$156,319"
"#136","good-karma",74,"4,046","8,031","2,586","98,905,414","6,728,655","7","105,113","0","$125,773"
"#137","steemship",68.6,"279","1,148","3","56,406,593","1,905,831","8,675","104,810","0","$135,780"
"#138","hwawol",25,"0","1","0","0","1,320,694","0","104,633","0","$125,189"
"#139","vortac",59.4,"662","509","311","871,398","5,734,665","0","103,296","512","$124,374"
"#140","coinfund",61.5,"45","358","25","4,287,244","559,417","4,490","101,033","0","$126,253"
"#141","grandpawhale",25,"0","7","8","0","982,858","0","101,009","0","$120,854"
"#142","sweetsssj",75.3,"12,671","11,474","7,408","112,082,858","20,327,768","1,326","100,779","1,489","$124,448"
"#143","jerrybanfield",72.9,"3,327","12,044","8,030","37,525,713","1,983,095","64","100,133","0","$119,882"
"#144","exyle",72.1,"5,437","2,446","56","29,161,795","5,091,336","0","100,015","16","$119,690"
"#145","rok-sivante",72.6,"3,941","3,045","90","97,445,906","12,859,042","3,812","99,824","454","$124,692"
"#146","jrcornel",75.5,"6,356","5,102","4,449","118,506,484","8,877,877","0","99,104","0","$118,575"
"#147","greenman",64.6,"811","777","55","3,236,060","2,368,927","165","99,074","10","$118,751"
"#148","node2",25,"0","54","0","0","0","0","98,533","0","$117,891"
"#149","solisrex",48.6,"263","0","0","27,152","188,724","0","98,144","6","$117,434"
"#150","demotruk",65.6,"4,912","1,827","67","4,384,369","3,228,071","1","98,037","0","$117,299"
"#151","cornucopia",25,"0","74","0","0","0","0","96,956","0","$116,004"
"#152","tim",25,"0","53","0","0","0","0","95,582","0","$114,360"
"#153","boombastic",57.2,"52","629","19","1,312,833","4,430,383","0","94,780","1,351","$115,472"
"#154","justbone",42.9,"3","1","1","14,809","147,522","15,613","93,122","7","$130,109"
"#155","biggest",25,"0","98","0","0","0","275","92,082","0","$110,502"
"#156","oldtimer",66.5,"3,466","1,556","65","5,484,194","9,960,181","0","91,637","0","$109,640"
"#157","coldstorage1",25,"0","104","0","0","86,177","28,106","91,560","1","$143,178"
"#158","fabien",58.1,"342","1,081","597","1,224,990","2,247,774","200","91,108","94","$109,391"
"#159","hanshotfirst",73.7,"5,616","3,003","2,212","79,421,088","5,687,731","144","90,997","75","$109,161"
"#160","robert-call",55.6,"382","667","259","442,171","712,925","0","90,182","0","$107,900"
"#161","eclipse",25,"0","81","0","0","0","0","89,801","0","$107,444"
"#162","layz3r",44.1,"3","89","10","15,195","9,681","25,823","88,775","1","$137,113"
"#163","kushed",61.2,"71","1,273","36","8,999,857","25,632,807","11,698","88,257","0","$119,592"
"#164","ekitcho",60.7,"815","1,139","948","3,102,157","638,114","4,740","87,610","219","$110,830"
"#165","cylonmaker2053",60.7,"136","263","61","9,310,321","47,809","0","86,825","0","$103,882"
"#166","bayrene",54.7,"127","473","18","489,220","228,793","5,508","86,623","5","$110,240"
"#167","mangos",25,"0","83","0","0","1,623,708","0","85,865","10","$102,749"
"#168","curie",75.3,"341","4,343","0","166,358,382","70,195,954","46,065","85,589","0","$157,519"
"#169","surfyogi",63.8,"2,425","1,246","1,203","4,214,501","1,462,887","3,308","85,529","397","$106,899"
"#170","smooth-c",25,"0","30","0","0","17","2,018","84,557","47","$103,655"
"#171","jackkang",50.5,"125","1,058","684","97,926","2,877,982","0","81,056","66","$97,080"
"#172","mattclarke",66.2,"3,951","1,093","1,022","5,975,575","565,230","1","79,683","19","$95,368"
"#173","ramires",47.3,"64","195","0","154,772","1,412,722","10","78,103","1","$93,460"
"#174","craig-grant",75.7,"7,456","6,396","4","63,074,698","8,586,725","0","77,106","1","$92,256"
"#175","signalandnoise",58.6,"614","382","87","984,629","1,178,513","0","76,860","0","$91,960"
"#176","steempower",73.2,"1,241","3,421","401","139,764,368","5,654,722","11,158","76,587","0","$104,984"
"#177","investegg",25,"1","0","0","0","67,452","544","76,204","7","$91,837"
"#178","star",25,"0","47","0","0","0","0","74,448","1","$89,076"
"#179","triplej",60.1,"1,146","156","2","1,564,476","910,581","0","73,871","2","$88,387"
"#180","smooth-e",25,"0","108","0","0","660,382","2,277","73,643","11","$90,852"
"#181","lukestokes",72.7,"9,457","3,876","2,850","38,632,275","4,462,376","86","73,517","1","$88,065"
"#182","emilhoch",26.4,"12","312","52","0","1,768,757","0","73,505","10","$87,962"
"#183","anwenbaumeister",71.4,"1,271","3,298","2,666","91,824,041","7,605,898","0","73,087","142","$87,664"
"#184","bcc",25,"0","180","10","0","2,722,227","0","72,177","2","$86,359"
"#185","urbanoid",42.1,"88","297","313","12,597","104,220","0","71,192","8","$85,191"
"#186","ozchartart",76,"415","1,918","2","140,406,390","1,150,227","0","70,446","0","$84,286"
"#187","solaris",25,"0","53","0","0","0","0","70,266","0","$84,071"
"#188","publicworker",59.3,"311","375","80","772,803","578,716","20,950","69,965","137","$108,986"
"#189","andrarchy",70.4,"1,640","3,545","200","51,607,891","1,058,992","0","69,240","42","$82,906"
"#190","eturnerx",54,"1,167","457","445","207,946","149,160","70","68,754","0","$82,345"
"#191","btu",46.5,"1","158","7","29,314","2,242,856","0","67,560","16","$80,858"
"#192","ryanwdaviessteem",25,"0","38","8","0","1,201","20,115","67,102","0","$104,352"
"#193","bue",43.6,"16","1,080","4","4,340","5,148,782","0","66,893","1","$80,037"
"#194","justtryme90",70.3,"8,170","2,639","2,638","28,116,337","3,186,202","0","66,864","5","$80,006"
"#195","broncnutz",62.6,"2,300","1,253","1,210","2,332,041","1,218,643","0","66,435","0","$79,486"
"#196","starkerz",59.6,"2,041","721","216","984,055","2,422,775","75","66,021","282","$79,513"
"#197","nikez452",48.5,"225","109","34","47,990","1,937,722","5,467","65,664","10","$85,121"
"#198","jaki01",68.6,"4,134","2,031","1,988","10,633,743","2,400,995","0","65,602","18","$78,517"
"#199","boatymcboatface",44.1,"15","593","5","3,715","4,498,083","2","65,412","3","$78,270"
"#200","starky",25,"0","47","0","0","0","0","64,288","0","$76,919"
"#201","dimimp",50.8,"106","1,659","292","56,698","8,814,895","400","64,164","0","$77,248"
"#202","luigi",25,"0","55","0","0","0","0","62,850","0","$75,197"
"#203","node3",25,"0","47","0","0","0","0","62,848","0","$75,195"
"#204","liberosist",69.2,"3,568","2,881","2,680","26,827,832","16,088,598","590","62,760","2","$75,800"
"#205","zahnspange",50.5,"50","259","20","94,982","2,582,545","0","61,652","0","$73,764"
"#206","google",25,"0","82","0","0","0","0","61,388","0","$73,448"
"#207","joeyd",47.4,"41","130","16","64,594","7,390","0","61,006","10","$73,007"
"#208","albakerki",25,"0","17","20","0","443,245","6,000","60,458","0","$79,514"
"#209","nxtblg",62,"1,661","573","391","1,147,295","286,134","0","60,315","0","$72,165"
"#210","sandrino",66.5,"1,187","518","14","7,289,751","961,916","0","60,046","0","$71,843"
"#211","faddy",37.5,"8","118","3","346","677,397","47,031","59,443","0","$127,392"
"#212","inventor16",62.5,"1,369","904","74","2,622,452","687,738","30","58,583","3","$70,134"
"#213","knircky",64.6,"2,216","1,763","1,720","3,470,956","3,408,105","0","57,631","2","$68,956"
"#214","sochul",71.5,"14,112","1,845","1,712","32,244,025","7,088,740","0","57,521","85","$68,953"
"#215","veritassapere",25,"0","41","0","0","10","29,079","56,668","1","$102,594"
"#216","enable",43.3,"5","65","0","12,115","40,707","0","56,275","1","$67,333"
"#217","skt",65.9,"2,215","355","66","5,138,971","1,623,246","0","55,855","13","$66,849"
"#218","leemikyung",62,"3,545","256","178","1,405,509","157,164","0","55,798","107","$66,923"
"#219","troglodactyl",57.8,"269","310","55","1,029,758","153,791","1","55,512","178","$66,692"
"#220","cyrano",55.5,"26","162","1","806,269","47,115","648","55,498","4,111","$73,480"
"#221","iflagtrash",25,"1","158","0","0","461,708","0","55,117","0","$65,946"
"#222","aggroed",71.5,"4,307","5,242","3,632","26,537,153","375,715","1,299","54,863","29","$67,241"
"#223","liondani",68.1,"2,622","1,740","1,503","20,358,389","3,680,784","0","54,763","92","$65,663"
"#224","famunger",50.7,"91","351","353","99,418","1,481,456","7,688","54,292","5","$74,165"
"#225","corn113",68.8,"4,924","1,106","827","11,717,208","2,103,282","9,952","54,234","25","$76,835"
"#226","dragonslayer109",72.3,"2,677","3,077","1,215","42,130,339","3,699,012","292","54,218","1,548","$67,593"
"#227","ausbitbank",72,"4,145","5,195","4,972","36,982,374","19,359,462","841","53,978","1","$65,590"
"#228","lafona",60.7,"111","395","92","8,875,805","1,831,974","0","53,900","0","$64,489"
"#229","bobbylee",41.2,"47","743","231","2,655","4,298,099","0","53,844","3","$64,427"
"#230","jl777",62.5,"439","666","11","8,844,558","1,533,016","0","53,549","0","$64,070"
"#231","redux",25,"1","144","53","18","36,865","0","53,525","0","$64,041"
"#232","inchonbitcoin",38,"15","322","34","1,297","3,971,809","60,001","53,495","0","$135,793"
"#233","enki",52.2,"40","701","19","152,892","76,324,546","107,001","53,236","2,394","$195,388"
"#234","tufkat",25,"1","0","0","0","0","0","52,884","17","$63,301"
"#235","candyman",25.3,"1","61","0","0","93,207","60","52,675","0","$63,096"
"#236","pkattera",59.5,"104","477","138","2,224,721","2,558,524","0","52,584","11","$62,931"
"#237","kaylinart",73.8,"9,473","4,614","3,579","66,142,540","3,137,573","2,084","51,951","0","$64,650"
"#238","heiditravels",72.2,"1,117","5,069","325","69,393,209","3,993,494","271","51,893","148","$62,639"
"#239","blockops",49.4,"28","194","24","72,132","51,882","0","51,792","0","$61,968"
"#240","tim1",25,"0","35","0","0","0","0","51,649","0","$61,796"
"#241","ben1",25,"0","86","5","0","9,931","0","51,616","0","$61,756"
"#242","arneb271828",51.5,"156","0","0","107,828","262,000","0","51,475","0","$61,588"
"#243","pal",61.1,"526","987","49","4,070,649","6,011,078","0","51,442","3","$61,553"
"#244","administrator",25,"0","127","0","0","0","623","50,943","0","$61,697"
"#245","sonamoo",57.1,"72","55","8","313,896","69,576","1,147","50,911","141","$62,502"
"#246","holic7",60.3,"1,013","159","49","840,241","240,005","0","50,834","1","$60,823"
"#247","jyp",62.1,"1,040","503","67","1,910,230","3,000,905","111","50,721","5","$60,826"
"#248","zurvanic",53.1,"153","754","13","561,607","113,645","3,075","50,243","19","$63,822"
"#249","pinkterest",39.6,"8","0","0","6,090","269,660","0","50,099","3","$59,947"
"#250","helikopterben",60,"160","355","43","1,147,788","681,530","0","50,085","16","$59,949"
"#251","zefa",59.4,"707","491","249","1,224,577","582,847","10","50,014","0","$59,852"
"#252","twinner",67.4,"5,139","2,093","2,049","9,247,186","12,397,613","1","49,895","0","$59,698"
"#253","kus-knee",71.9,"12,252","2,361","1,169","38,789,629","2,636,636","20","49,801","15","$59,631"
"#254","someguy123",67.8,"479","1,992","89","20,339,674","302,873","8,528","49,510","1,505","$71,748"
"#255","lexiconical",69.5,"6,304","1,288","794","11,456,559","719,642","0","49,025","19","$58,685"
"#256","decuration",25,"0","0","0","0","0","0","48,763","0","$58,343"
"#257","noaommerrr",55.1,"207","217","10","331,438","2,544,049","2","48,760","218","$58,676"
"#258","inertia",70.6,"2,441","1,844","1,530","17,166,038","2,359,507","1,619","48,721","0","$60,229"
"#259","geoffrey",59.6,"178","1,140","954","2,787,212","2,958,623","0","48,684","0","$58,249"
"#260","acidyo",73.7,"10,038","6,864","359","49,280,556","24,190,276","360","48,185","6","$58,092"
"#261","eric818",51.6,"304","434","374","176,996","1,645,768","0","48,041","0","$57,479"
"#262","tim2",25,"0","36","0","0","0","63","47,946","0","$57,441"
"#263","innuendo",65.5,"1,140","630","47","24,049,225","798,202","0","47,847","186","$57,532"
"#264","spinbunny",54,"868","151","35","138,824","584,207","100","47,773","172","$57,543"
"#265","knozaki2015",77.7,"9,128","4,049","1,550","217,901,250","5,526,703","0","47,559","95","$57,048"
"#266","rhanna10km",34.5,"17","0","0","1,357","103","0","47,153","1","$56,418"
"#267","rea",69.4,"3,159","2,821","164","14,786,519","1,711,940","0","46,785","2","$55,979"
"#268","me-tarzan",73.1,"6,676","2,024","511","31,390,385","943,118","4,339","46,482","585","$61,702"
"#269","barrie",46.8,"5","141","0","58,314","2,402,471","0","46,405","1","$55,523"
"#270","teamsteem",70.9,"6,556","6,979","6,370","44,981,370","25,153,566","324","45,990","7","$55,423"
"#271","timcliff",72.4,"7,364","3,836","2,460","41,366,907","1,559,073","44","45,637","9","$54,669"
"#272","steemitblog",70.4,"122","5,998","4","38,912,776","10,275","810","45,574","4,612","$62,568"
"#273","musicholic",61.4,"2,094","488","328","1,658,283","490,165","30","45,564","0","$54,551"
"#274","woo7739",67.8,"6,753","1,677","1,638","7,718,765","2,707,996","114","44,627","150","$53,761"
"#275","joeblack1",63.6,"1,101","449","48","2,962,816","182,431","1,086","44,276","244","$54,648"
"#276","sjmstem",25,"7","79","0","162","639,724","0","43,671","1","$52,253"
"#277","eclipse1",25,"0","58","0","0","0","0","43,499","0","$52,045"
"#278","tradeqwik",61.2,"299","639","411","2,198,836","4,269,817","5,181","43,334","2,203","$61,423"
"#279","staticinstance",58.4,"615","278","138","700,010","486,681","11,016","43,144","0","$64,800"
"#280","hebrew",59.4,"184","182","13","754,825","1,333,015","0","43,042","133","$51,701"
"#281","libertyteeth",58.9,"3,684","770","763","781,531","675,903","0","42,914","178","$51,617"
"#282","kimjungmin",41.6,"36","145","61","22,592","4,934","350","42,897","0","$51,743"
"#283","kwak",63.2,"1,722","619","300","2,234,749","796,611","3,878","42,865","0","$55,926"
"#284","gringalicious",73.9,"20,206","3,953","3,465","48,139,822","2,751,442","0","42,856","51","$51,353"
"#285","cob",62.1,"213","783","14","2,757,088","75,130","0","42,679","14","$51,085"
"#286","void",65.6,"248","423","22","32,500,939","29,840","7","42,545","1,116","$52,623"
"#287","tim3",25,"0","35","0","0","0","0","42,474","0","$50,818"
"#288","bitcoincompany",60.1,"643","0","0","812,767","188,335","0","42,148","26","$50,468"
"#289","furion",70.5,"751","4,550","59","60,734,477","4,798,948","5,264","42,029","0","$56,584"
"#290","asmolokalo",55.7,"864","1,712","1,599","203,233","2,945,957","0","41,883","1","$50,113"
"#291","ats-david",73.8,"4,869","4,384","3,508","78,445,799","16,202,682","5,594","41,853","530","$57,581"
"#292","jamesbrown",60.7,"1,801","842","169","1,098,275","3,938,705","0","41,668","25","$49,893"
"#293","ssm1810",34.4,"21","292","179","1,164","1,370,651","7,001","41,617","1","$58,171"
"#294","ezzy",68.2,"3,017","1,282","565","11,258,837","2,033,141","0","41,568","8","$49,746"
"#295","enervate",25,"0","62","0","0","0","0","41,220","0","$49,318"
"#296","modprobe",67.8,"754","1,941","55","24,866,697","909,376","56,641","40,926","0","$116,735"
"#297","tim5",25,"0","6","0","0","0","0","40,787","0","$48,800"
"#298","ghwang2888",25,"0","6","0","0","14","0","40,764","0","$48,772"
"#299","johnsmith",63.9,"1,782","1,130","886","4,573,720","843,877","35","40,614","10","$48,649"
"#300","penguinpablo",71.7,"1,831","3,560","75","23,562,728","4,131,778","8,988","40,597","1,066","$60,960"
"#301","flyingmind",49.3,"27","270","57","87,524","246,323","2,315","39,819","0","$50,411"
"#302","davidorcamuriel",34.9,"4","101","23","3,323","709,180","0","39,745","0","$47,554"
"#303","kakaotalk",65.8,"774","51","0","3,682,443","397,836","0","39,440","16","$47,212"
"#304","timotirado",52.5,"94","100","15","305,682","14,277","0","39,262","0","$46,975"
